,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
28854,2016,Albania,ALB,Cyprus,CYP,0,5.0,0.0,-,0.0,-,0.0
28853,2016,Albania,ALB,Belgium,BEL,534,368.0,0.0,-,0.0,-,0.0
28852,2016,Albania,ALB,Austria,AUT,93,100.0,0.0,-,0.0,-,0.0
28851,2016,Afghanistan,AFG,Ukraine,UKR,1497,2909.0,0.0,-,0.0,-,0.0
28850,2016,Afghanistan,AFG,Switzerland,CHE,5675,7761.0,0.0,-,0.0,-,0.0
28849,2016,Afghanistan,AFG,Sweden,SWE,16558,34217.0,0.0,-,0.0,-,0.0
28848,2016,Afghanistan,AFG,Slovenia,SVN,36,93.0,0.0,-,0.0,-,0.0
28847,2016,Afghanistan,AFG,Slovakia,SVK,287,0.0,0.0,-,0.0,-,0.0
28846,2016,Afghanistan,AFG,Serbia and Kosovo: S/RES/1244 (1999),SRB,3449,70.0,0.0,-,0.0,-,0.0
28845,2016,Afghanistan,AFG,Romania,ROU,129,0.0,0.0,-,0.0,-,0.0
28844,2016,Afghanistan,AFG,Poland,POL,92,8.0,0.0,-,0.0,-,0.0
28843,2016,Afghanistan,AFG,Norway,NOR,6568,2452.0,0.0,-,0.0,-,0.0
28842,2016,Afghanistan,AFG,Netherlands (Kingdom of the),NLD,5791,1672.0,0.0,-,0.0,-,0.0
28841,2016,Afghanistan,AFG,Malta,MLT,0,7.0,0.0,-,0.0,-,0.0
28840,2016,Afghanistan,AFG,North Macedonia,MKD,5,0.0,0.0,-,0.0,-,0.0
28839,2016,Afghanistan,AFG,Luxembourg,LUX,43,230.0,0.0,-,0.0,-,0.0
28838,2016,Afghanistan,AFG,Italy,ITA,16033,1926.0,0.0,-,0.0,-,0.0
28837,2016,Afghanistan,AFG,Ireland,IRL,222,116.0,0.0,-,0.0,-,0.0
28836,2016,Afghanistan,AFG,Iceland,ISL,18,11.0,0.0,-,0.0,-,0.0
28835,2016,Afghanistan,AFG,Hungary,HUN,1008,1392.0,0.0,-,0.0,-,0.0
28834,2016,Afghanistan,AFG,Croatia,HRV,39,140.0,0.0,-,0.0,-,0.0
28858,2016,Albania,ALB,Finland,FIN,5,6.0,0.0,-,0.0,-,0.0
28911,2016,Angola,AGO,Switzerland,CHE,846,41.0,0.0,-,0.0,-,0.0
28912,2016,Angola,AGO,Ukraine,UKR,27,9.0,0.0,-,0.0,-,0.0
28913,2016,Egypt,EGY,Albania,ALB,5,0.0,0.0,-,0.0,-,0.0
28989,2016,Bahrain,BHR,France,FRA,5,0.0,0.0,-,0.0,-,0.0
28988,2016,Azerbaijan,AZE,Ukraine,UKR,157,51.0,0.0,-,0.0,-,0.0
28987,2016,Azerbaijan,AZE,Switzerland,CHE,85,40.0,0.0,-,0.0,-,0.0
28986,2016,Azerbaijan,AZE,Sweden,SWE,874,331.0,0.0,-,0.0,-,0.0
28985,2016,Azerbaijan,AZE,Norway,NOR,52,5.0,0.0,-,0.0,-,0.0
28984,2016,Azerbaijan,AZE,Netherlands (Kingdom of the),NLD,317,59.0,0.0,-,0.0,-,0.0
28983,2016,Azerbaijan,AZE,Luxembourg,LUX,15,5.0,0.0,-,0.0,-,0.0
28982,2016,Azerbaijan,AZE,Italy,ITA,73,5.0,0.0,-,0.0,-,0.0
28981,2016,Azerbaijan,AZE,Ireland,IRL,15,0.0,0.0,-,0.0,-,0.0
28980,2016,Azerbaijan,AZE,Hungary,HUN,13,0.0,0.0,-,0.0,-,0.0
28990,2016,Bahrain,BHR,United Kingdom of Great Britain and Northern Ireland,GBR,153,7.0,0.0,-,0.0,-,0.0
28979,2016,Azerbaijan,AZE,Croatia,HRV,5,0.0,0.0,-,0.0,-,0.0
28977,2016,Azerbaijan,AZE,Germany,DEU,2312,6242.0,0.0,-,0.0,-,0.0
28976,2016,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,79,5.0,0.0,-,0.0,-,0.0
28975,2016,Azerbaijan,AZE,France,FRA,2926,399.0,0.0,-,0.0,-,0.0
28974,2016,Azerbaijan,AZE,Finland,FIN,44,5.0,0.0,-,0.0,-,0.0
